age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,smoke,bmi,active,label
23, Private,462294, Assoc-acdm,12, Never-married, Other-service, Own-child, Black, Male,44, United-States,0.0,19.955254180633247,0.0,0
45, Self-emp-not-inc,67716, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States,0.0,22.9725188495158,1.0,0
35, Private,128876, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,19.97183515870012,1.0,0
51, Private,173987, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,0.0,23.38628164362953,1.0,0
48, Self-emp-not-inc,121124, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,35, United-States,0.0,21.367968476072747,0.0,1
38, Private,63509, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States,0.0,24.28843408737028,1.0,0
22, Private,187052, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,40, United-States,0.0,24.227108184124784,0.0,0
45, Private,190115, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Male,40, United-States,0.0,26.434827698011656,0.0,0
19, Private,121972, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,40, United-States,0.0,23.712564181298603,0.0,0
81, Self-emp-not-inc,137018, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,20, United-States,0.0,25.083299720646988,0.0,0
24, Private,178255, Some-college,10, Married-civ-spouse, Priv-house-serv, Wife, White, Female,40, ?,0.0,23.116077222303492,0.0,0
44, Private,257758, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,0.0,20.774833319046568,0.0,1
47, Self-emp-inc,350759, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,27.26452410614868,0.0,1
30, Self-emp-not-inc,146161, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,0.0,22.2899979886869,1.0,1
22, Private,211968, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,40, United-States,0.0,28.908778018623448,0.0,0
49, Private,116143, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,0.0,23.661850721435684,0.0,0
51, Local-gov,123325, Prof-school,15, Widowed, Prof-specialty, Not-in-family, White, Female,40, United-States,0.0,25.46385083858674,1.0,0
47, Private,294913, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,25.635736038738425,0.0,1
18, ?,78181, HS-grad,9, Never-married, ?, Own-child, White, Female,20, United-States,0.0,25.23352703916472,1.0,0
34, Private,92682, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States,0.0,22.198738840337004,0.0,0
49, ?,481987, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,60, United-States,0.0,24.501833153070105,1.0,0
40, Self-emp-inc,475322, Bachelors,13, Separated, Craft-repair, Own-child, White, Male,50, United-States,0.0,25.06314469054533,1.0,0
34, State-gov,117503, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,20, Italy,0.0,23.00442808025393,0.0,0
48, Self-emp-not-inc,213140, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Italy,1.0,22.438811340571753,1.0,0
25, Federal-gov,366207, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,40, United-States,0.0,23.561526336220474,1.0,0
80, ?,172826, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,8, United-States,0.0,25.780626257607214,0.0,0
42, Private,132481, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White, Female,24, United-States,1.0,20.62092124699677,1.0,0
49, Private,173115, 10th,6, Separated, Exec-managerial, Not-in-family, Black, Male,99, United-States,0.0,29.28154135219172,0.0,0
25, Local-gov,109526, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,38, United-States,0.0,24.752180741527727,0.0,0
28, Private,115677, Assoc-acdm,12, Never-married, Adm-clerical, Own-child, White, Male,32, United-States,0.0,22.93098253852088,1.0,0
35, Local-gov,233327, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States,0.0,25.25053541312177,0.0,0
65, Self-emp-not-inc,131417, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,21, United-States,0.0,22.565555236318694,1.0,0
48, ?,63466, HS-grad,9, Married-spouse-absent, ?, Unmarried, White, Female,32, United-States,0.0,24.33110778631061,0.0,0
19, Private,165505, Some-college,10, Never-married, Sales, Own-child, White, Female,20, United-States,0.0,22.90993930615529,1.0,0
18, Private,102182, 12th,8, Never-married, Priv-house-serv, Not-in-family, White, Female,30, United-States,0.0,26.74496847427549,1.0,0
26, Private,184120, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,50, United-States,0.0,25.792841470708453,0.0,0
22, Private,107882, HS-grad,9, Never-married, Prof-specialty, Own-child, White, Female,20, United-States,0.0,21.963431957010172,1.0,0
21, Private,116788, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States,0.0,26.525561794300337,0.0,0
18, Private,155752, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,30, United-States,0.0,24.695921012295127,0.0,0
20, ?,58740, Some-college,10, Never-married, ?, Own-child, White, Male,15, United-States,1.0,26.451171022967873,0.0,0
30, Federal-gov,48458, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,40, United-States,0.0,26.052322123069864,0.0,0
48, Private,265192, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States,1.0,25.475435655679828,1.0,0
45, Private,185437, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White, Female,55, United-States,0.0,23.250887193237627,0.0,0
37, Private,109133, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Portugal,0.0,24.554831414627852,0.0,0
40, Self-emp-inc,76625, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States,0.0,22.328780476533733,0.0,0
31, Private,120461, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States,0.0,25.34998359725254,0.0,0
32, Private,328199, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White, Female,64, United-States,0.0,26.65377776371945,0.0,0
36, Self-emp-not-inc,186035, Prof-school,15, Married-civ-spouse, Sales, Husband, White, Male,30, United-States,0.0,20.436813438539964,1.0,1
35, Private,40135, HS-grad,9, Never-married, Other-service, Own-child, White, Male,30, United-States,0.0,24.757129732539816,0.0,0
23, Private,363219, Some-college,10, Never-married, Priv-house-serv, Not-in-family, White, Female,6, United-States,0.0,28.125360404897656,0.0,0
26, Private,188767, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States,0.0,22.155904366812077,1.0,0
32, Private,35595, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States,0.0,21.94654565270805,0.0,0
25, Private,178025, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,0.0,21.96176029440613,0.0,0
29, Private,54932, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,0.0,22.427616152701553,0.0,0
25, Private,109609, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,25, United-States,1.0,23.3638360950382,1.0,0
27, Private,265314, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,45, United-States,0.0,21.98493586634037,0.0,1
28, Private,115579, Assoc-voc,11, Never-married, Tech-support, Own-child, White, Female,38, United-States,0.0,22.734145586343626,0.0,0
76, Local-gov,169133, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,30, United-States,1.0,23.24089580870484,0.0,0
77, Private,187656, Some-college,10, Widowed, Priv-house-serv, Not-in-family, White, Female,20, United-States,0.0,23.253816198309174,0.0,0
53, Private,156612, 12th,8, Divorced, Transport-moving, Not-in-family, White, Female,40, United-States,0.0,27.02894951728116,1.0,0
28, Private,107411, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,35, United-States,1.0,24.744061273023505,0.0,0
23, Private,82998, Some-college,10, Never-married, Sales, Not-in-family, White, Male,30, United-States,0.0,23.05176885719125,1.0,0
38, Private,354739, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,36, Philippines,1.0,22.202640820438624,1.0,1
34, ?,317219, Some-college,10, Married-civ-spouse, ?, Wife, White, Female,20, United-States,0.0,18.95312764957356,1.0,1
35, Private,87556, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,45, United-States,0.0,21.39206554270444,0.0,1
37, Private,147638, Bachelors,13, Separated, Other-service, Unmarried, Asian-Pac-Islander, Female,36, Philippines,0.0,20.75098515486876,0.0,0
44, State-gov,154176, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Female,40, United-States,0.0,21.153396643086985,0.0,0
34, Private,213226, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,65, United-States,0.0,21.238058067432245,1.0,1
30, Private,197886, Some-college,10, Never-married, Sales, Not-in-family, White, Male,45, United-States,0.0,22.463982396740352,1.0,1
23, Private,50341, Masters,14, Never-married, Sales, Not-in-family, White, Female,20, United-States,0.0,23.74595666713708,1.0,0
40, Local-gov,244522, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,48, United-States,0.0,21.959353385407773,0.0,1
35, Private,330664, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,40, United-States,1.0,24.356963257169326,0.0,0
46, State-gov,192779, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,25.60140826290971,1.0,1
44, Private,175943, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,20, United-States,0.0,25.858741768304125,0.0,0
31, Private,511289, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,99, United-States,1.0,24.485349120511888,0.0,0
20, Private,117244, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Female,45, United-States,0.0,24.95105811072793,1.0,0
37, Private,203828, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,65, United-States,0.0,23.625848564225826,0.0,0
23, ?,449101, HS-grad,9, Married-civ-spouse, ?, Own-child, White, Female,30, United-States,0.0,25.36542195005879,1.0,0
38, Private,236391, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,21.353591256917984,1.0,1
23, Private,103064, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,40, United-States,1.0,27.46412843549376,1.0,0
20, ?,293091, HS-grad,9, Never-married, ?, Own-child, White, Male,12, United-States,0.0,25.975463928629107,1.0,0
60, Private,199085, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,0.0,22.87846001744072,0.0,0
53, Private,141388, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,0.0,18.991882769951626,0.0,1
42, Private,242564, 7th-8th,4, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40, United-States,0.0,23.545250205786985,1.0,0
29, Federal-gov,229300, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,48, United-States,1.0,22.94536538546637,1.0,0
59, Self-emp-not-inc,96459, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,23.39766305780725,0.0,0
45, Private,288437, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Other, Male,40, United-States,0.0,22.764217618157826,1.0,0
47, Local-gov,204377, Some-college,10, Never-married, Other-service, Own-child, White, Female,20, United-States,1.0,25.310009008920602,0.0,0
69, Private,102874, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,24, United-States,0.0,23.35332659298541,0.0,0
35, ?,144172, Assoc-acdm,12, Married-civ-spouse, ?, Wife, White, Female,16, United-States,1.0,27.580519230389104,1.0,0
32, Private,379412, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,40, United-States,0.0,26.211102507128768,0.0,0
38, Local-gov,218184, 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,40, Mexico,0.0,27.360625375194946,1.0,0
31, Local-gov,226494, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,45, United-States,0.0,24.844181529829804,0.0,0
25, Private,252803, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,40, United-States,0.0,27.37142604972454,1.0,0
43, Private,163215, Bachelors,13, Married-civ-spouse, Other-service, Wife, White, Female,35, ?,0.0,25.388113112896505,0.0,1
22, Private,177125, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,50, United-States,0.0,24.749259623953577,0.0,0
32, Private,195000, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,0.0,20.620021005253527,1.0,1
44, Local-gov,162506, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,35, United-States,0.0,23.900483039729718,1.0,0
66, Self-emp-not-inc,174788, Some-college,10, Never-married, Sales, Not-in-family, White, Female,20, United-States,0.0,23.582766693750816,0.0,0
28, Private,190391, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,40, United-States,0.0,20.256382093441978,1.0,0
42, Private,195508, 11th,7, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, United-States,1.0,23.806775126470324,0.0,0
36, Private,65624, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States,1.0,26.312779422559018,1.0,0
40, Private,408229, 1st-4th,2, Never-married, Other-service, Not-in-family, White, Male,45, El-Salvador,1.0,24.95988055869017,0.0,0
62, Private,213321, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,0.0,22.097334920032225,0.0,1
47, Self-emp-inc,206947, Assoc-acdm,12, Widowed, Exec-managerial, Not-in-family, White, Female,67, United-States,0.0,24.71641545615605,0.0,0
29, Private,277788, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,25, United-States,0.0,23.02929339733673,1.0,0
27, Private,405765, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, ?,0.0,22.275380567054487,0.0,1
28, Private,44216, HS-grad,9, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,40, United-States,1.0,25.698076379992234,0.0,0
37, Private,224947, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,40, United-States,0.0,21.54759294632264,1.0,0
45, Local-gov,195418, Masters,14, Divorced, Prof-specialty, Not-in-family, Black, Male,40, United-States,0.0,22.308778870444428,0.0,0
23, ?,191910, Some-college,10, Never-married, ?, Other-relative, White, Male,40, United-States,0.0,24.569537814888978,0.0,0
43, Private,266439, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,45, United-States,1.0,22.24986102718698,0.0,0
43, Private,260761, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico,0.0,23.12524635842109,0.0,0
36, Private,172104, Prof-school,15, Never-married, Prof-specialty, Not-in-family, Other, Male,40, India,0.0,21.831220621139927,0.0,1
25, Private,120238, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,43, United-States,1.0,23.65817360841681,1.0,0
43, Self-emp-not-inc,272165, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,23.030503905442323,0.0,0
56, Self-emp-not-inc,163212, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,40, United-States,0.0,23.130860835652122,0.0,1
52, Private,192390, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,0.0,20.43708234373123,0.0,1
42, Private,253770, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States,0.0,24.747476103483468,0.0,0
34, Private,64830, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Female,45, United-States,0.0,21.820881531814127,1.0,0
49, Private,149210, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, United-States,0.0,25.520296741838965,0.0,0
58, Private,570562, HS-grad,9, Widowed, Sales, Not-in-family, White, Male,38, United-States,0.0,26.2720907555248,0.0,0
17, Private,244602, 12th,8, Never-married, Other-service, Own-child, White, Male,15, United-States,0.0,27.60541868219883,0.0,0
20, Private,271379, Some-college,10, Never-married, Sales, Own-child, White, Female,25, United-States,0.0,22.830506412194623,0.0,0
31, Private,206512, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,25, United-States,0.0,21.370983579588387,1.0,0
57, Local-gov,343447, HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Female,40, United-States,1.0,22.209069732623682,1.0,0
41, Local-gov,103759, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,0.0,25.904391639750123,0.0,0
37, State-gov,74163, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,0.0,24.07539283674429,0.0,0
63, ?,445168, Bachelors,13, Widowed, ?, Not-in-family, Amer-Indian-Eskimo, Female,56, United-States,0.0,19.614177917984136,0.0,0
19, Private,194905, Some-college,10, Never-married, Other-service, Own-child, White, Female,12, United-States,0.0,22.74629120760505,0.0,0
47, Self-emp-not-inc,255934, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,80, United-States,0.0,22.92191236038001,1.0,0
49, Private,170165, HS-grad,9, Divorced, Machine-op-inspct, Other-relative, White, Female,55, United-States,0.0,24.78439634726437,0.0,0
70, Private,237065, 5th-6th,3, Widowed, Other-service, Other-relative, White, Female,40, ?,0.0,21.73418081533691,1.0,0
17, Private,121425, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,16, United-States,0.0,25.305530168120534,0.0,0
42, Local-gov,201723, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States,0.0,25.212349529822443,1.0,0
23, ?,114357, Some-college,10, Never-married, ?, Not-in-family, White, Male,40, United-States,0.0,24.06501610021945,1.0,0
49, Self-emp-inc,246891, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,0.0,22.526594722812284,0.0,1
41, Private,106627, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, Black, Female,50, United-States,0.0,25.503817253347396,0.0,0
72, Self-emp-inc,473748, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,25, United-States,0.0,22.89534351289074,0.0,1
23, Private,194951, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,55, Ireland,0.0,27.082769659443912,0.0,0
38, Private,34996, Some-college,10, Separated, Other-service, Unmarried, White, Female,40, United-States,0.0,23.72847479157102,1.0,0
40, State-gov,184378, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,0.0,23.449488577770648,0.0,0
27, Private,181280, Masters,14, Never-married, Handlers-cleaners, Unmarried, White, Male,30, United-States,0.0,24.13912191867186,0.0,0
